   Pol-Flux            x              r              R               R+r             Te              ne              Ti            Zeff          omega-tor           Er              ni           nimp             nf              Tf
   2.3495108e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   2.4516634e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   2.5538160e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   2.6559687e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   2.7581213e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   2.8602740e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   2.9624266e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.0645793e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.1667319e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.2688845e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.3710372e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.4731898e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.5753425e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.6774951e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.7796477e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.8818004e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   3.9839530e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.0861057e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.1882583e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.2904110e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.3925636e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.4947162e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.5968689e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.6990215e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.8011742e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   4.9033268e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.0054795e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.1076321e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.2097847e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.3119374e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.4140900e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.5162427e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.6183953e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.7205479e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.8227006e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   5.9248532e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.0270059e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.1291585e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.2313112e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.3334638e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.4356164e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.5377691e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.6399217e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.7420744e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.8442270e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   6.9463796e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.0485323e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.1506849e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.2528376e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.3549902e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.4571429e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.5592955e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.6614481e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.7636008e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.8657534e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   7.9679061e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
   8.0700587e-03   0.0000000e+00   0.0000000e+00   1.0000000e+00   0.0000000e+00   3.0253341e+02   5.2169024e-01   3.8584727e+02   1.0000000e+00   7.4175223e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.6000000e+01
